"","senator$first_name","senator$last_name","senator$address"
"1","Lamar","Alexander","455 Dirksen Senate Office Building Washington DC 20510"
"2","Kelly","Ayotte","144 Russell Senate Office Building Washington DC 20510"
"3","Tammy","Baldwin","717 Hart Washington DC 20510"
"4","John","Barrasso","307 Dirksen Senate Office Building Washington DC 20510"
"5","Michael F.","Bennet","261 Russell Senate Office Building Washington DC 20510"
"6","Richard","Blumenthal","706 Hart Senate Office Building Washington DC 20510"
"7","Roy","Blunt","260 Russell Senate Office Building Washington DC 20510"
"8","Cory A.","Booker","359 Dirksen Senate Office Building Washington DC 20510"
"9","John","Boozman","141 Hart Senate Office Building Washington DC 20510"
"10","Barbara","Boxer","112 Hart Senate Office Building Washington DC 20510"
"11","Sherrod","Brown","713 Hart Senate Office Building Washington DC 20510"
"12","Richard","Burr","217 Russell Senate Office Building Washington DC 20510"
"13","Maria","Cantwell","511 Hart Senate Office Building Washington DC 20510"
"14","Shelley Moore","Capito","172 Russell Senate Office Building Washington DC 20510"
"15","Benjamin L.","Cardin","509 Hart Senate Office Building Washington DC 20510"
"16","Thomas R.","Carper","513 Hart Senate Office Building Washington DC 20510"
"17","Robert P., Jr.","Casey","393 Russell Senate Office Building Washington DC 20510"
"18","Bill","Cassidy","703 Hart Senate Office Building Washington DC 20510"
"19","Daniel","Coats","493 Russell Senate Office Building Washington DC
      20510"
"20","Thad","Cochran","113 Dirksen Senate Office Building Washington DC 20510"
"21","Susan M.","Collins","413 Dirksen Senate Office Building Washington DC 20510"
"22","Christopher A.","Coons","127A Russell Senate Office Building Washington DC 20510"
"23","Bob","Corker","425 Dirksen Senate Office Building Washington DC 20510"
"24","John","Cornyn","517 Hart Senate Office Building Washington DC 20510"
"25","Tom","Cotton","124 Russell Senate Office Building Washington DC 20510"
"26","Mike","Crapo","239 Dirksen Senate Office Building Washington DC 20510"
"27","Ted","Cruz","404 Russell Senate Office Building Washington DC 20510"
"28","Steve","Daines","320 Hart Senate Office Building Washington DC 20510"
"29","Joe","Donnelly","720 Hart Senate Office Building Washington DC 20510"
"30","Richard J.","Durbin","711 Hart Senate Office Building Washington DC 20510"
"31","Michael B.","Enzi","379A Russell Senate Office Building Washington DC 20510"
"32","Joni","Ernst","111 Russell Senate Office Building Washington DC 20510"
"33","Dianne","Feinstein","331 Hart Senate Office Building Washington DC 20510"
"34","Deb","Fischer","454 Russell Senate Office Building Washington DC 20510"
"35","Jeff","Flake","413 Russell Senate Office Building Washington DC 20510"
"36","Al","Franken","309 Hart Senate Office Building Washington DC 20510"
"37","Cory","Gardner","354 Russell Senate Office Building Washington DC 20510"
"38","Kirsten E.","Gillibrand","478 Russell Senate Office Building Washington DC 20510"
"39","Lindsey","Graham","290 Russell Senate Office Building Washington DC 20510"
"40","Chuck","Grassley","135 Hart Senate Office Building Washington DC 20510"
"41","Orrin G.","Hatch","104 Hart Senate Office Building Washington DC 20510"
"42","Martin","Heinrich","303 Hart Senate Office Building Washington DC 20510"
"43","Heidi","Heitkamp","110 Hart Senate Office Building Washington DC 20510"
"44","Dean","Heller","324 Hart Senate Office Building Washington DC 20510"
"45","Mazie K.","Hirono","330 Hart Senate Office Building Washington DC 20510"
"46","John","Hoeven","338 Russell Senate Office Building Washington DC 20510"
"47","James M.","Inhofe","205 Russell Senate Office Building Washington DC 20510"
"48","Johnny","Isakson","131 Russell Senate Office Building Washington DC 20510"
"49","Ron","Johnson","328 Hart Senate Office Building Washington DC 20510"
"50","Tim","Kaine","231 Russell Senate Office Building Washington DC 20510"
"51","Angus S., Jr.","King","133 Hart Senate Office Building Washington DC 20510"
"52","Mark","Kirk","524 Hart Senate Office Building Washington DC 20510"
"53","Amy","Klobuchar","302 Hart Senate Office Building Washington DC 20510"
"54","James","Lankford","316 Hart Senate Office Building Washington DC 20510"
"55","Patrick J.","Leahy","437 Russell Senate Office Building Washington DC 20510"
"56","Mike","Lee","361A Russell Senate Office Building Washington DC 20510"
"57","Joe, III","Manchin","306 Hart Senate Office Building Washington DC 20510"
"58","Edward J.","Markey","255 Dirksen Senate Office Building Washington DC 20510"
"59","John","McCain","218 Russell Senate Office Building Washington DC 20510"
"60","Claire","McCaskill","730 Hart Senate Office Building Washington DC 20510"
"61","Mitch","McConnell","317 Russell Senate Office Building Washington DC 20510"
"62","Robert","Menendez","528 Hart Senate Office Building Washington DC 20510"
"63","Jeff","Merkley","313 Hart Senate Office Building Washington DC 20510"
"64","Barbara A.","Mikulski","503 Hart Senate Office Building Washington DC 20510"
"65","Jerry","Moran","521 Dirksen Senate Office Building Washington DC 20510"
"66","Lisa","Murkowski","709 Hart Senate Office Building Washington DC 20510"
"67","Christopher","Murphy","136 Hart Senate Office Building Washington DC 20510"
"68","Patty","Murray","154 Russell Senate Office Building Washington DC 20510"
"69","Bill","Nelson","716 Hart Senate Office Building Washington DC 20510"
"70","Rand","Paul","167 Russell Senate Office Building Washington DC 20510"
"71","David","Perdue","383 Russell Senate Office Building Washington DC 20510"
"72","Gary","Peters","724 Hart Senate Office Building Washington DC 20510"
"73","Rob","Portman","448 Russell Senate Office Building Washington DC 20510"
"74","Jack","Reed","728 Hart Senate Office Building Washington DC 20510"
"75","Harry","Reid","522 Hart Senate Office Building Washington DC 20510"
"76","James E.","Risch","483 Russell Senate Office Building Washington DC 20510"
"77","Pat","Roberts","109 Hart Senate Office Building Washington DC 20510"
"78","Mike","Rounds","502 Hart Senate Office Building Washington DC 20510"
"79","Marco","Rubio","284 Russell Senate Office Building Washington DC 20510"
"80","Bernard","Sanders","332 Dirksen Senate Office Building Washington DC 20510"
"81","Ben","Sasse","386A Russell Senate Office Building Washington DC 20510"
"82","Brian","Schatz","722 Hart Senate Office Building Washington DC 20510"
"83","Charles E.","Schumer","322 Hart Senate Office Building Washington DC 20510"
"84","Tim","Scott","520 Hart Senate Office Building Washington DC 20510"
"85","Jeff","Sessions","326 Russell Senate Office Building Washington DC 20510"
"86","Jeanne","Shaheen","506 Hart Senate Office Building Washington DC 20510"
"87","Richard C.","Shelby","304 Russell Senate Office Building Washington DC 20510"
"88","Debbie","Stabenow","731 Hart Senate Office Building Washington DC 20510"
"89","Daniel","Sullivan","702 Hart Senate Office Building Washington DC 20510"
"90","Jon","Tester","311 Hart Senate Office Building Washington DC 20510"
"91","John","Thune","511 Dirksen Senate Office Building Washington DC 20510"
"92","Thom","Tillis","185 Dirksen Senate Office Building Washington DC 20510"
"93","Patrick J.","Toomey","248 Russell Senate Office Building Washington DC 20510"
"94","Tom","Udall","531 Hart Senate Office Building Washington DC 20510"
"95","David","Vitter","516 Hart Senate Office Building Washington DC 20510"
"96","Mark R.","Warner","475 Russell Senate Office Building Washington DC 20510"
"97","Elizabeth","Warren","317 Hart Senate Office Building Washington DC 20510"
"98","Sheldon","Whitehouse","530 Hart Senate Office Building Washington DC 20510"
"99","Roger F.","Wicker","555 Dirksen Senate Office Building Washington DC 20510"
"100","Ron","Wyden","221 Dirksen Senate Office Building Washington DC 20510"
